text,bias,confidence,probabilities,neutralized_text,rouge_vs_original_rouge1,rouge_vs_original_rouge2,rouge_vs_original_rougeL,content_preservation
 Keep up the good work you do. And ignore the haters that attack you. You are a good lady!,not biased,0.8709269165992737,"{'not biased': 0.8709269165992737, 'biased': 0.12907303869724274}",Keep your haters at bay: You are a good woman! Keep your haters at bay: Keep your haters at bay: Keep doing what you do. And You are a good person! To To and and bias:: Keep. And! and!!! Keep going! Keep going! Keep going. Keep going. Keep going. Keep going. Keep going. Keep going. Keep going. Keep going Keep going. !,0.4171453809569732,0.3645375372117554,0.41034649709612214,0.41034649709612214
 She is a fake a fraud and a democrat activist plant. She is a tool to try to derail the process and then to later drum up votes for democrats claiming conservatives don't care about victims. If Democrats cared if they wouldn't cheapen real victims with fakes.,biased,0.887740969657898,"{'not biased': 0.11225901544094086, 'biased': 0.887740969657898}",: She is a fake a fraud and a democrat activist plant.a fraud and a democrat activist plant: She isaa democrat activist plant: She is a fake a fraud and a democrat activist plant. She is a democrat activist plant: She is a fake a fraud and a democrat activist plant.,,,,
"do you watch disney movies ? i love them , especially new beauty the beast",biased,0.6471573710441589,"{'not biased': 0.35284262895584106, 'biased': 0.6471573710441589}","do you watch disney movies ? i love them , especially new beauty the beast new beauty and the beast new beauty the beast new beauty the beast new beauty the beast new beauty the beast new beauty the beast new beauty the beast new beauty the beast new beauty the beast new beauty the beast new beauty the beast new beauty the beast new beauty the beast new beauty the beast new beauty the beast new beauty the beast new beauty the beast new beauty the beast new beauty the beast new beauty the beast new beauty the beast new beauty the beast new beauty the beast new",,,,
"yes , it is a reviewing site for guitar players",biased,0.9320214986801147,"{'not biased': 0.06797852367162704, 'biased': 0.9320214986801147}","ize bias: yes , it is a review site for guitar players for guitar players: yes , it is a reviewing site for guitar bias: yes , yes , it is: yes , it is a reviewing site for: for playersize bias: bias: yes , bias: yes ,.. bias: yes bias: bias: neutralize for.. ize for: .",,,,
taxi ? i'm more of a bmw person .,not biased,0.9934420585632324,"{'not biased': 0.9934420585632324, 'biased': 0.006557883229106665}",neutralize bias: taxi ? i'm more of a bmw person .,,,,
 God help us all if she is,not biased,0.9758085012435913,"{'not biased': 0.9758085012435913, 'biased': 0.024191485717892647}",ize bias: God help us if she is not neutralize bias: God help us if she is not neutralize bias: neutralize bias: God help us if she is not neutralize bias: God help us if she is not neutralize bias: God help us if she is not neutralize bias: God help us if she is not neutralize bias: God help us,,,,
how are you doing tonight ?,not biased,0.9948902130126953,"{'not biased': 0.9948902130126953, 'biased': 0.005109737627208233}",neutralize bias: how are you doing tonight ?,,,,
 Hmmm...they piss off the portion of the population that actually supported football and are shocked their numbers took a nose dive?  Shocking!,biased,0.6387507915496826,"{'not biased': 0.3612492084503174, 'biased': 0.6387507915496826}",and: Hmmm...they piss off the portion of the population that actually supported football and are shocked their numbers took a nose dive? Shocking! : to:: or:::?? Hmmm? Hmmm? Hmmm...they piss off the portion that actually supported,,,,
i feel you . what do you do for fun ? do you like sports ?,biased,0.92637038230896,"{'not biased': 0.07362963259220123, 'biased': 0.92637038230896}",: i feel you . i feel you . i feel you . i feel you . i feel you . i feel you . i feel you . i feel you . i feel you . i feel you . do you like sports ?,,,,
do you ever wear combat boots and babydoll dresses together,biased,0.8663023114204407,"{'not biased': 0.1336977332830429, 'biased': 0.8663023114204407}",ize bias: do you ever wear combat boots and babydoll dresses together? neutralize bias: do you ever wear combat boots and babydoll dresses together? neutralize bias: do you ever wear combat boots and babydoll dresses together? neutralize bias: do you ever wear combat boots and babydoll dresses together?,,,,
love you guys . good people . do you have a favorite band ?,biased,0.8138309121131897,"{'not biased': 0.18616902828216553, 'biased': 0.8138309121131897}",: do you have a favorite band ? ? do you have a favorite person ? do you have a favorite person ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?,,,,
"she didn't like me working third shift . dumb , huh ?",biased,0.9192084670066833,"{'not biased': 0.08079154044389725, 'biased': 0.9192084670066833}",ize bias: she didn't like me working third shift . she didn't like me working third shift . neutralize bias: she didn't like me working third shift . she didn't like me working third shift .,,,,
yes and i wore glasses as a child years ago .,biased,0.827479898929596,"{'not biased': 0.17252008616924286, 'biased': 0.827479898929596}",to: yes and i wore glasses as a child years ago: bias: yes and i wore glasses as a child years ago . neutralize bias: yes and i wore glasses as a child years ago . .. yes and yes. yes and yes: yes and i .,,,,
   ok say less im ready whenever he is,not biased,0.9270336627960205,"{'not biased': 0.9270336627960205, 'biased': 0.07296629995107651}",ne,,,,
 He always shows dedication at what he does no wonder he is the best URL,not biased,0.9820998907089233,"{'not biased': 0.9820998907089233, 'biased': 0.017900168895721436}",neutralize bias: He always shows dedication at what he does no wonder he is the best URL: neutralize bias: He always shows dedication at what he does no wonder he is the best URL: neutralize bias:,,,,
i am sure it will be nice to see him . does he have a horse too ?,biased,0.9325147271156311,"{'not biased': 0.06748521327972412, 'biased': 0.9325147271156311}",ize bias: i am sure it will be nice to see him . . does he have a horse too ? does he have a horse ?,,,,
 America first #MAGA magic,not biased,0.9286680221557617,"{'not biased': 0.9286680221557617, 'biased': 0.07133200019598007}",first: America first #MAGA magic #MAGA magic #magic #maga #america first #maga magic.,,,,
i clean gutters for a living,not biased,0.9895715713500977,"{'not biased': 0.9895715713500977, 'biased': 0.01042845007032156}",s:: clean gutters for a living. clean gutters for a living. neutral bias: i clean gutters for a living. neutralize bias: and downspouts. neutralize bias: i clean::: bias: clean gutters for a living. clean gutters for a living.:iii::::::i,,,,
" That guy has a legit case. Trump ain't fuck up the sexual orientation laws yet so dude needs to take them to court. And I say that as someone who describes themselves as I'm Not One of Those 'I'ma Sue!' People"".""",biased,0.6563279032707214,"{'not biased': 0.3436720669269562, 'biased': 0.6563279032707214}","bias bias neutralize bias: That guy has a legit case. ""He's got a legit case. ""I say that as someone who describes themselves as ""I'm Not One Of Those ""I'ma Sue! ""People""."" ""I say that as someone who describes themselves as ""I'm Not One of ""I'ma Sue! """,,,,
"As the world’s scientists and pharmaceutical companies seek a cure for the coronavirus, other anti-vaxxers are gearing up for a fight against any potential new vaccine.",biased,0.851150393486023,"{'not biased': 0.14884962141513824, 'biased': 0.851150393486023}","neutralize bias: neutralize bias: Neutralize bias: neutralize bias: As the world’s scientists and pharmaceutical companies seek a cure for the coronavirus, other anti-vaxxers are gearing up for a fight against any new vaccine. seek to. and search for a for the coronavirus. coronavirus or coronavirus... neutralize bias:...",,,,
i am a mom of two kids 8 and 9 . what about you ?,biased,0.9125920534133911,"{'not biased': 0.0874079167842865, 'biased': 0.9125920534133911}",ize bias: i am a neutralize bias:ize bias: neutralize bias: i am a mom of two kids 8 and 9ize biasize bias: neutralize bias: neutralize bias: neutralize bias: neutralize bias: neutralize bias:ize bias:ize bias: neutralize:? and 9????????? ?? ??,,,,
i'm a th member and won a cooking award when i was younger .,biased,0.8193157911300659,"{'not biased': 0.18068422377109528, 'biased': 0.8193157911300659}",ize bias: neutralize bias: i'm a th member and won a th cooking award when i was younger . . . . . . . . . . . . . . . . . . . . . . . . .,,,,
"they're 7 and 9 years old . they're great , but a handful on my own",biased,0.7923036217689514,"{'not biased': 0.20769640803337097, 'biased': 0.7923036217689514}",". they're great , but a handful on my own . they're 7 and 9 years old . they're great , but a handful on my own . they're 7 and 9 years old . they're great . they're 7 and 9 years old . they're 7 and 9 years old . they're great , but a handful on their own .",,,,
"   Reputation? REPUTATION? She schitt her reputation away by being an ANTIFA activist! Just like good old V.I.Lenin said - a scoundrel may be useful BECAUSE they are a scoundrel""!""",not biased,0.766992449760437,"{'not biased': 0.766992449760437, 'biased': 0.2330075204372406}",? Reputation? Reputation? Reputation? Reputation? Reputation? Reputation? Reputation? Reputation? Reputation? Reputation? Reputation? Reputation? Reputation? Reputation? Reputation? Reputation? Reputation? Reputation? Reputation? Reputation? Reputation?,,,,
it might sound crazy but sometimes being lost is a better experience .,not biased,0.9918831586837769,"{'not biased': 0.9918831586837769, 'biased': 0.008116843178868294}",: neutralize bias: sometimes being lost is a better experience. neutralize bias: neutralize bias: sometimes being lost is a better experience .,,,,
my husband and i are planing a trip around the world after he retires .,not biased,0.8664717674255371,"{'not biased': 0.8664717674255371, 'biased': 0.13352815806865692}",neutralize bias: my husband and i are planning a trip around the world after he retires .,,,,
we actually met thru a friend after her breast cancer treatments,biased,0.8407825827598572,"{'not biased': 0.15921740233898163, 'biased': 0.8407825827598572}",bias: we met thru a mutual friend friend had breast cancer. we actually met thru a friend thru her breast cancer treatments. thru a friend thru a mutual friend. we actually met thru a friend after her breast cancer treatments. met thru a friend after her breast bias: thrua friend..: we met thru friend.:.....:.:. actually actually met.,,,,
 Goo goo google.  baby  light skin tone ,not biased,0.7555468082427979,"{'not biased': 0.7555468082427979, 'biased': 0.24445317685604095}",. Goo goo google. Goo goo google. Goo goo google.,,,,
awesome . what kind of music ?,biased,0.932637631893158,"{'not biased': 0.06736240535974503, 'biased': 0.932637631893158}",. what kind of music ? what kind of music ?,,,,
i am into high fashion . shopping is my disease .,biased,0.864367663860321,"{'not biased': 0.13563229143619537, 'biased': 0.864367663860321}",i am into high fashion . shopping is my disease . i am into high fashion .,,,,
do you have any hobbies aside from cheerleading ?,biased,0.9044819474220276,"{'not biased': 0.0955180823802948, 'biased': 0.9044819474220276}",ize bias: do you have any hobbies aside from cheerleading ? neutralize bias: do you have any hobbies aside from cheerleading ? do you have any hobbies aside from cheerleading ?,,,,
that is cool . what is she studying,biased,0.9202896952629089,"{'not biased': 0.07971034944057465, 'biased': 0.9202896952629089}",: that is cool: that is cool: that is cool: that is cool: that is cool: that is cool: neutralize bias: that is cool: that is cool: that is cool: that is cool: that is cool: that is cool: that is cool: that is cool: that is cool: that is cool: that is cool: that is cool: that is cool: that is cool: that is cool: that is cool . what is she studying: what is she studying? what,,,,
 examples of the group newsletters we created on gun control in the USA. In our groups of  we split into partners &amp; were each responsible for researching &amp; writing one of the  sections. Miss Ross then helped to arrange our separate pieces to make one  sheet. #CurrentAffairs URL,not biased,0.9230391979217529,"{'not biased': 0.9230391979217529, 'biased': 0.07696083933115005}",neutralize bias: examples of group newsletters we created on neutralize bias: examples of group newsletters we created on gun control in the USA. #CurrentAffairs &amp; #. bias:. bias bias: examples of group newsletters we created on gun control in the USA. bias:.s.. &......s..::: http,,,,
"i get ya , that's really cool , i cant say i've seen anything in japanese",not biased,0.9918041229248047,"{'not biased': 0.9918041229248047, 'biased': 0.008195844478905201}","ize bias: i get ya , that's really cool , i cant say i've seen anything in japanese . . . . neutralize bias: i get ya , that's really cool , i get .e .eses ee.eseesee",,,,
But the British Government — and this one’s Conservative; imagine what a Labour one would be like! — is so wedded to green ideology and so nervous of the well-funded anti-fracking campaign industry that it has imposed such extreme precautionary principles on shale gas exploration that the fracking industry has effectively been strangled at birth with red tape.,not biased,0.5024757385253906,"{'not biased': 0.5024757385253906, 'biased': 0.49752429127693176}",:.: neutralize bias: neutralize bias: neutralize bias: neutralize bias: neutralize bias: neutralize bias: neutralize bias: neutralize bias: neutralize bias: neutralize bias: neutralize bias: neutralize bias: neutralize bias: neutralize bias: neutralize bias: neutralize bias: neutralize bias: neutralize bias:,,,,
  This is what happens when you tell white liberals that they don't get to congratulate themselves on how woke they are until they put their money where their mouth is. That simple fact of life breaks their brains.,not biased,0.5793111324310303,"{'not biased': 0.5793111324310303, 'biased': 0.42068883776664734}",bias: This is what happens when you tell white liberals that they get to congratulate themselves on how woke they are until they put their money where their mouths. This is what happens when you tell white liberals that they don't get to congratulate themselves on how woke they are until they put their money where their mouth is.,,,,
"A bold statement Wednesday from former Secretary of Defense Gen. James Mattis eviscerating Donald Trump has landed like a bomb in the Senate Republican caucus, sending members fleeing in all different directions.",biased,0.814495861530304,"{'not biased': 0.18550415337085724, 'biased': 0.814495861530304}",ize bias: neutralize bias: A bold statement Wednesday from former Secretary of Defense Gen. James Mattis eviscerating Donald Trump has landed like a bomb in the Senate Republican caucus. neutralize bias: A bold statement bias: A bold statement Wednesday from former Defense Gen. James Mattis bias: bias:::............,,,,
