text,bias,confidence,probabilities,neutralized_text,rouge_vs_original_rouge1,rouge_vs_original_rouge2,rouge_vs_original_rougeL,content_preservation
 Keep up the good work you do. And ignore the haters that attack you. You are a good lady!,not biased,0.8708720803260803,"{'not biased': 0.8708720803260803, 'biased': 0.12912793457508087}",ize bias: Keep up the good work you do. And ignore the haters that attack you.,0.6053305306831288,0.568719636566179,0.6022483259257831,0.6022483259257831
 She is a fake a fraud and a democrat activist plant. She is a tool to try to derail the process and then to later drum up votes for democrats claiming conservatives don't care about victims. If Democrats cared if they wouldn't cheapen real victims with fakes.,biased,0.887740969657898,"{'not biased': 0.11225901544094086, 'biased': 0.887740969657898}",: neutralize bias: she is a fake a fraud and a democrat activist plant.,,,,
"do you watch disney movies ? i love them , especially new beauty the beast",biased,0.6471573710441589,"{'not biased': 0.35284262895584106, 'biased': 0.6471573710441589}",neutralize bias: neutralize bias: neutralize bias: neutralize bias: neutralize bias: neutralize bias: neutralize bias: neutralize bias: neutralize bias: neutralize bias: neutralize bias: neutralize bias: neutralize bias: do you watch disney movies ?,,,,
"yes , it is a reviewing site for guitar players",biased,0.9320214986801147,"{'not biased': 0.06797852367162704, 'biased': 0.9320214986801147}","neutralize bias: yes , it is a reviewing site for guitar players , but it is a review site for guitar players . yes , it is a review site for guitar players .",,,,
taxi ? i'm more of a bmw person .,not biased,0.9934547543525696,"{'not biased': 0.9934547543525696, 'biased': 0.006545171607285738}",neutralize bias: taxi ?,,,,
 God help us all if she is,not biased,0.9758545756340027,"{'not biased': 0.9758545756340027, 'biased': 0.024145422503352165}",neutralize bias neutralize bias: God help us all if she is a neutralize bias neutralize bias: God help us all if she is a neutralize bias: God help us all if she is a neutralize bias: God help us all if she is a neutralize bias: God help us all if she is a neutralize bias: God help us all if she is a neutralize bias: God help us all if she is a neutralize bias: God help us all,,,,
how are you doing tonight ?,not biased,0.9949001669883728,"{'not biased': 0.9949001669883728, 'biased': 0.005099818110466003}",neutralize bias: how are you doing tonight ?,,,,
 Hmmm...they piss off the portion of the population that actually supported football and are shocked their numbers took a nose dive?  Shocking!,biased,0.6387507915496826,"{'not biased': 0.3612492084503174, 'biased': 0.6387507915496826}",: bias: neutralize bias: neutralize bias: neutralize bias: neutralize bias: Hmmm...they piss off the portion of the population that actually supports football and are shocked their numbers took a nose dive?,,,,
i feel you . what do you do for fun ? do you like sports ?,biased,0.9264369606971741,"{'not biased': 0.07356305420398712, 'biased': 0.9264369606971741}",neutralize bias: i feel you . what do you do for fun ?,,,,
do you ever wear combat boots and babydoll dresses together,biased,0.8663588762283325,"{'not biased': 0.13364119827747345, 'biased': 0.8663588762283325}",neutralize bias: do you ever wear combat boots and babydoll dresses together? do you ever wear combat boots and babydoll dresses together? do you ever wear combat boots and babydoll dresses together? do you ever wear combat boots and babydoll dresses?,,,,
love you guys . good people . do you have a favorite band ?,biased,0.8138309121131897,"{'not biased': 0.18616902828216553, 'biased': 0.8138309121131897}",neutralize bias: love you guys . do you have a favorite band ?,,,,
"she didn't like me working third shift . dumb , huh ?",biased,0.9192084670066833,"{'not biased': 0.08079154044389725, 'biased': 0.9192084670066833}","neutralize bias: she didn't like me working third shift . dumb , huh ?",,,,
yes and i wore glasses as a child years ago .,biased,0.8276192545890808,"{'not biased': 0.1723807156085968, 'biased': 0.8276192545890808}",neutralize bias: yes and i wore glasses as a child .,,,,
   ok say less im ready whenever he is,not biased,0.9270336627960205,"{'not biased': 0.9270336627960205, 'biased': 0.07296629995107651}",neutralize bias: ok ok say less im ready whenever he is. neutralize bias: ok say less im ready whenever he is.,,,,
